sapling_id,species,drought_tolerance,preferred_zone
SAP-0064,Mahogany,Medium,Buffer Zone
SAP-0065,Narra,Low,Parks and Recreation Zone
SAP-0066,Banaba,Low,Medium Density Residential Zone
SAP-0067,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0068,Narra,Medium,Forest Zone
SAP-0069,Molave,Medium,Buffer Zone
SAP-0070,Banaba,High,Medium Density Residential Zone
SAP-0071,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0072,Molave,High,Medium Density Residential Zone
SAP-0073,Narra,Low,Medium Density Residential Zone
SAP-0074,Molave,Medium,Buffer Zone
SAP-0075,Molave,Low,Forest Zone
SAP-0076,Banaba,Low,Parks and Recreation Zone
SAP-0077,Banaba,Low,Buffer Zone
SAP-0078,Ilang-Ilang,Medium,Buffer Zone
SAP-0079,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0080,Narra,High,Medium Density Residential Zone
SAP-0081,Molave,Low,Buffer Zone
SAP-0082,Narra,Medium,Buffer Zone
SAP-0083,Narra,Medium,Medium Density Residential Zone
SAP-0084,Banaba,Low,Buffer Zone
SAP-0085,Banaba,Low,Forest Zone
SAP-0086,Narra,Low,Buffer Zone
SAP-0087,Narra,Low,Medium Density Residential Zone
SAP-0088,Narra,Medium,Buffer Zone
SAP-0089,Mahogany,High,Medium Density Residential Zone
SAP-0090,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0091,Mahogany,High,Forest Zone
SAP-0092,Narra,Low,Buffer Zone
SAP-0093,Mahogany,Low,Buffer Zone
SAP-0094,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0095,Molave,Medium,Parks and Recreation Zone
SAP-0096,Narra,High,Buffer Zone
SAP-0097,Molave,Low,Medium Density Residential Zone
SAP-0098,Banaba,Low,Forest Zone
SAP-0099,Banaba,High,Medium Density Residential Zone
SAP-0100,Banaba,Low,Forest Zone
SAP-0101,Molave,High,Buffer Zone
SAP-0102,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0103,Mahogany,High,Buffer Zone
SAP-0104,Narra,Low,Parks and Recreation Zone
SAP-0105,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0106,Ilang-Ilang,Medium,Forest Zone
SAP-0107,Mahogany,High,Buffer Zone
SAP-0108,Banaba,Medium,Medium Density Residential Zone
SAP-0109,Banaba,Medium,Buffer Zone
SAP-0110,Narra,Low,Parks and Recreation Zone
SAP-0111,Narra,Medium,Medium Density Residential Zone
SAP-0112,Banaba,Low,Buffer Zone
SAP-0113,Mahogany,High,Forest Zone
SAP-0114,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0115,Ilang-Ilang,Medium,Forest Zone
SAP-0116,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0117,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0118,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0119,Banaba,Medium,Medium Density Residential Zone
SAP-0120,Molave,High,Parks and Recreation Zone
SAP-0121,Banaba,Low,Buffer Zone
SAP-0122,Molave,Medium,Forest Zone
SAP-0123,Mahogany,Low,Parks and Recreation Zone
SAP-0124,Molave,Low,Forest Zone
SAP-0125,Narra,Low,Medium Density Residential Zone
SAP-0126,Ilang-Ilang,Low,Forest Zone
SAP-0127,Narra,Medium,Forest Zone
SAP-0128,Molave,Low,Parks and Recreation Zone
SAP-0129,Banaba,Low,Medium Density Residential Zone
SAP-0130,Banaba,Low,Parks and Recreation Zone
SAP-0131,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0132,Ilang-Ilang,High,Forest Zone
SAP-0133,Banaba,High,Parks and Recreation Zone
SAP-0134,Molave,Low,Medium Density Residential Zone
SAP-0135,Mahogany,Medium,Forest Zone
SAP-0136,Ilang-Ilang,High,Buffer Zone
SAP-0137,Narra,High,Medium Density Residential Zone
SAP-0138,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0139,Mahogany,Low,Buffer Zone
SAP-0140,Mahogany,Low,Parks and Recreation Zone
SAP-0141,Mahogany,High,Medium Density Residential Zone
SAP-0142,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0143,Molave,Medium,Buffer Zone
SAP-0144,Banaba,High,Buffer Zone
SAP-0145,Mahogany,Medium,Forest Zone
SAP-0146,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0147,Narra,High,Parks and Recreation Zone
SAP-0148,Narra,Medium,Buffer Zone
SAP-0149,Narra,High,Buffer Zone
SAP-0150,Narra,High,Parks and Recreation Zone
SAP-0151,Mahogany,High,Medium Density Residential Zone
SAP-0152,Banaba,Medium,Medium Density Residential Zone
SAP-0153,Banaba,High,Buffer Zone
SAP-0154,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0155,Mahogany,Medium,Buffer Zone
SAP-0156,Banaba,Medium,Medium Density Residential Zone
SAP-0157,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0158,Banaba,High,Parks and Recreation Zone
SAP-0159,Narra,Low,Medium Density Residential Zone
SAP-0160,Mahogany,Medium,Parks and Recreation Zone
SAP-0161,Ilang-Ilang,Medium,Forest Zone
SAP-0162,Narra,Low,Forest Zone
SAP-0163,Mahogany,Medium,Medium Density Residential Zone
SAP-0164,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0165,Narra,High,Forest Zone
SAP-0166,Molave,High,Forest Zone
SAP-0167,Mahogany,Medium,Buffer Zone
SAP-0168,Banaba,High,Parks and Recreation Zone
SAP-0169,Banaba,Medium,Medium Density Residential Zone
SAP-0170,Mahogany,Low,Medium Density Residential Zone
SAP-0171,Mahogany,High,Medium Density Residential Zone
SAP-0172,Ilang-Ilang,High,Forest Zone
SAP-0173,Narra,High,Forest Zone
SAP-0174,Molave,High,Buffer Zone
SAP-0175,Mahogany,Medium,Parks and Recreation Zone
SAP-0176,Narra,Medium,Forest Zone
SAP-0177,Banaba,High,Medium Density Residential Zone
SAP-0178,Mahogany,Low,Medium Density Residential Zone
SAP-0179,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0180,Banaba,Medium,Forest Zone
SAP-0181,Banaba,Low,Forest Zone
SAP-0182,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0183,Banaba,Low,Parks and Recreation Zone
SAP-0184,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0185,Molave,High,Forest Zone
SAP-0186,Banaba,Low,Buffer Zone
SAP-0187,Banaba,Low,Buffer Zone
SAP-0188,Narra,Low,Medium Density Residential Zone
SAP-0189,Mahogany,Medium,Parks and Recreation Zone
SAP-0190,Banaba,Medium,Medium Density Residential Zone
SAP-0191,Mahogany,High,Medium Density Residential Zone
SAP-0192,Molave,Medium,Buffer Zone
SAP-0193,Mahogany,High,Parks and Recreation Zone
SAP-0194,Narra,High,Forest Zone
SAP-0195,Banaba,High,Parks and Recreation Zone
SAP-0196,Molave,High,Parks and Recreation Zone
SAP-0197,Molave,Low,Buffer Zone
SAP-0198,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0199,Banaba,Low,Medium Density Residential Zone
SAP-0200,Molave,High,Parks and Recreation Zone
SAP-0201,Molave,Low,Buffer Zone
SAP-0202,Banaba,Medium,Forest Zone
SAP-0203,Narra,High,Buffer Zone
SAP-0204,Molave,High,Parks and Recreation Zone
SAP-0205,Narra,Low,Parks and Recreation Zone
SAP-0206,Molave,High,Forest Zone
SAP-0207,Narra,High,Parks and Recreation Zone
SAP-0208,Narra,Medium,Parks and Recreation Zone
SAP-0209,Narra,Low,Medium Density Residential Zone
SAP-0210,Mahogany,High,Buffer Zone
SAP-0211,Banaba,High,Parks and Recreation Zone
SAP-0212,Molave,High,Medium Density Residential Zone
SAP-0213,Banaba,Medium,Medium Density Residential Zone
SAP-0214,Banaba,Medium,Medium Density Residential Zone
SAP-0215,Banaba,High,Medium Density Residential Zone
SAP-0216,Mahogany,Low,Forest Zone
SAP-0217,Molave,High,Buffer Zone
SAP-0218,Mahogany,Low,Buffer Zone
SAP-0219,Mahogany,High,Buffer Zone
SAP-0220,Mahogany,Low,Buffer Zone
SAP-0221,Mahogany,Medium,Medium Density Residential Zone
SAP-0222,Molave,High,Parks and Recreation Zone
SAP-0223,Molave,Medium,Forest Zone
SAP-0224,Banaba,Medium,Parks and Recreation Zone
SAP-0225,Banaba,High,Forest Zone
SAP-0226,Mahogany,Low,Buffer Zone
SAP-0227,Narra,Low,Medium Density Residential Zone
SAP-0228,Banaba,Medium,Buffer Zone
SAP-0229,Ilang-Ilang,Medium,Forest Zone
SAP-0230,Ilang-Ilang,High,Forest Zone
SAP-0231,Mahogany,Low,Forest Zone
SAP-0232,Molave,High,Forest Zone
SAP-0233,Ilang-Ilang,Low,Forest Zone
SAP-0234,Narra,High,Medium Density Residential Zone
SAP-0235,Molave,Low,Medium Density Residential Zone
SAP-0236,Banaba,Medium,Parks and Recreation Zone
SAP-0237,Narra,Low,Buffer Zone
SAP-0238,Molave,Low,Parks and Recreation Zone
SAP-0239,Mahogany,Medium,Parks and Recreation Zone
SAP-0240,Molave,Low,Forest Zone
SAP-0241,Banaba,Medium,Medium Density Residential Zone
SAP-0242,Banaba,High,Forest Zone
SAP-0243,Molave,Low,Forest Zone
SAP-0244,Mahogany,Low,Buffer Zone
SAP-0245,Banaba,High,Parks and Recreation Zone
SAP-0246,Narra,Medium,Buffer Zone
SAP-0247,Molave,Medium,Parks and Recreation Zone
SAP-0248,Narra,High,Buffer Zone
SAP-0249,Narra,Low,Medium Density Residential Zone
SAP-0250,Narra,High,Medium Density Residential Zone
SAP-0251,Mahogany,Medium,Medium Density Residential Zone
SAP-0252,Ilang-Ilang,High,Buffer Zone
SAP-0253,Narra,High,Buffer Zone
SAP-0254,Molave,High,Medium Density Residential Zone
SAP-0255,Banaba,Low,Parks and Recreation Zone
SAP-0256,Ilang-Ilang,Medium,Buffer Zone
SAP-0257,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0258,Mahogany,Medium,Parks and Recreation Zone
SAP-0259,Narra,Medium,Buffer Zone
SAP-0260,Molave,High,Medium Density Residential Zone
SAP-0261,Banaba,Medium,Buffer Zone
SAP-0262,Banaba,High,Buffer Zone
SAP-0263,Molave,Medium,Forest Zone
SAP-0264,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0265,Banaba,Low,Forest Zone
SAP-0266,Banaba,Low,Buffer Zone
SAP-0267,Ilang-Ilang,High,Forest Zone
SAP-0268,Banaba,High,Medium Density Residential Zone
SAP-0269,Molave,High,Buffer Zone
SAP-0270,Molave,Low,Forest Zone
SAP-0271,Molave,High,Buffer Zone
SAP-0272,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0273,Banaba,Medium,Parks and Recreation Zone
SAP-0274,Mahogany,Low,Medium Density Residential Zone
SAP-0275,Narra,Low,Buffer Zone
SAP-0276,Banaba,Medium,Forest Zone
SAP-0277,Narra,High,Buffer Zone
SAP-0278,Narra,High,Medium Density Residential Zone
SAP-0279,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0280,Mahogany,Medium,Buffer Zone
SAP-0281,Mahogany,High,Parks and Recreation Zone
SAP-0282,Banaba,Medium,Forest Zone
SAP-0283,Narra,High,Forest Zone
SAP-0284,Molave,High,Forest Zone
SAP-0285,Narra,High,Medium Density Residential Zone
SAP-0286,Molave,Low,Parks and Recreation Zone
SAP-0287,Banaba,Low,Buffer Zone
SAP-0288,Mahogany,High,Forest Zone
SAP-0289,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0290,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0291,Mahogany,High,Forest Zone
SAP-0292,Banaba,Low,Parks and Recreation Zone
SAP-0293,Mahogany,High,Buffer Zone
SAP-0294,Ilang-Ilang,High,Buffer Zone
SAP-0295,Mahogany,Medium,Buffer Zone
SAP-0296,Narra,Low,Forest Zone
SAP-0297,Molave,High,Medium Density Residential Zone
SAP-0298,Banaba,Medium,Forest Zone
SAP-0299,Mahogany,Medium,Parks and Recreation Zone
SAP-0300,Molave,Medium,Forest Zone
SAP-0301,Ilang-Ilang,High,Buffer Zone
SAP-0302,Molave,Low,Buffer Zone
SAP-0303,Banaba,Low,Buffer Zone
SAP-0304,Banaba,High,Buffer Zone
SAP-0305,Banaba,Low,Parks and Recreation Zone
SAP-0306,Molave,High,Forest Zone
SAP-0307,Mahogany,Low,Buffer Zone
SAP-0308,Mahogany,High,Forest Zone
SAP-0309,Molave,Low,Parks and Recreation Zone
SAP-0310,Banaba,Medium,Parks and Recreation Zone
SAP-0311,Mahogany,High,Buffer Zone
SAP-0312,Mahogany,Low,Medium Density Residential Zone
SAP-0313,Narra,Medium,Buffer Zone
SAP-0314,Narra,Low,Medium Density Residential Zone
SAP-0315,Mahogany,Medium,Buffer Zone
SAP-0316,Mahogany,Medium,Forest Zone
SAP-0317,Molave,High,Forest Zone
SAP-0318,Molave,Medium,Medium Density Residential Zone
SAP-0319,Banaba,Medium,Forest Zone
SAP-0320,Mahogany,High,Parks and Recreation Zone
SAP-0321,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0322,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0323,Narra,Medium,Forest Zone
SAP-0324,Narra,Low,Forest Zone
SAP-0325,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0326,Narra,Medium,Medium Density Residential Zone
SAP-0327,Molave,Low,Medium Density Residential Zone
SAP-0328,Mahogany,Low,Forest Zone
SAP-0329,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0330,Banaba,Medium,Buffer Zone
SAP-0331,Molave,High,Parks and Recreation Zone
SAP-0332,Narra,High,Medium Density Residential Zone
SAP-0333,Narra,High,Forest Zone
SAP-0334,Mahogany,High,Buffer Zone
SAP-0335,Molave,Medium,Parks and Recreation Zone
SAP-0336,Molave,Medium,Medium Density Residential Zone
SAP-0337,Narra,High,Parks and Recreation Zone
SAP-0338,Molave,Low,Parks and Recreation Zone
SAP-0339,Banaba,High,Parks and Recreation Zone
SAP-0340,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0341,Narra,High,Medium Density Residential Zone
SAP-0342,Molave,High,Medium Density Residential Zone
SAP-0343,Narra,Medium,Forest Zone
SAP-0344,Molave,High,Medium Density Residential Zone
SAP-0345,Ilang-Ilang,High,Buffer Zone
SAP-0346,Mahogany,Low,Forest Zone
SAP-0347,Banaba,High,Buffer Zone
SAP-0348,Mahogany,High,Medium Density Residential Zone
SAP-0349,Banaba,Medium,Forest Zone
SAP-0350,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0351,Narra,Medium,Buffer Zone
SAP-0352,Narra,High,Medium Density Residential Zone
SAP-0353,Narra,High,Buffer Zone
SAP-0354,Banaba,Low,Buffer Zone
SAP-0355,Ilang-Ilang,High,Forest Zone
SAP-0356,Molave,Low,Buffer Zone
SAP-0357,Mahogany,Low,Parks and Recreation Zone
SAP-0358,Molave,High,Forest Zone
SAP-0359,Banaba,High,Parks and Recreation Zone
SAP-0360,Narra,Medium,Parks and Recreation Zone
SAP-0361,Banaba,Medium,Forest Zone
SAP-0362,Banaba,High,Forest Zone
SAP-0363,Ilang-Ilang,High,Buffer Zone
SAP-0364,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0365,Mahogany,Low,Buffer Zone
SAP-0366,Molave,Medium,Buffer Zone
SAP-0367,Molave,High,Parks and Recreation Zone
SAP-0368,Mahogany,Medium,Forest Zone
SAP-0369,Ilang-Ilang,Medium,Buffer Zone
SAP-0370,Mahogany,Low,Parks and Recreation Zone
SAP-0371,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0372,Molave,Low,Forest Zone
SAP-0373,Mahogany,Medium,Parks and Recreation Zone
SAP-0374,Molave,Low,Forest Zone
SAP-0375,Mahogany,Low,Medium Density Residential Zone
SAP-0376,Ilang-Ilang,Medium,Buffer Zone
SAP-0377,Mahogany,Low,Buffer Zone
SAP-0378,Narra,High,Parks and Recreation Zone
SAP-0379,Ilang-Ilang,High,Forest Zone
SAP-0380,Ilang-Ilang,High,Forest Zone
SAP-0381,Narra,Medium,Parks and Recreation Zone
SAP-0382,Banaba,High,Buffer Zone
SAP-0383,Banaba,Medium,Buffer Zone
SAP-0384,Banaba,High,Forest Zone
SAP-0385,Ilang-Ilang,Medium,Buffer Zone
SAP-0386,Banaba,High,Buffer Zone
SAP-0387,Narra,Low,Parks and Recreation Zone
SAP-0388,Molave,High,Parks and Recreation Zone
SAP-0389,Narra,High,Forest Zone
SAP-0390,Banaba,High,Buffer Zone
SAP-0391,Narra,Medium,Parks and Recreation Zone
SAP-0392,Mahogany,Medium,Buffer Zone
SAP-0393,Molave,Medium,Buffer Zone
SAP-0394,Molave,Low,Medium Density Residential Zone
SAP-0395,Mahogany,Medium,Parks and Recreation Zone
SAP-0396,Banaba,Low,Parks and Recreation Zone
SAP-0397,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0398,Molave,Low,Medium Density Residential Zone
SAP-0399,Narra,Low,Parks and Recreation Zone
SAP-0400,Banaba,High,Forest Zone
SAP-0401,Mahogany,Medium,Buffer Zone
SAP-0402,Mahogany,Low,Buffer Zone
SAP-0403,Narra,High,Medium Density Residential Zone
SAP-0404,Ilang-Ilang,High,Forest Zone
SAP-0405,Molave,High,Parks and Recreation Zone
SAP-0406,Banaba,High,Medium Density Residential Zone
SAP-0407,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0408,Mahogany,High,Medium Density Residential Zone
SAP-0409,Mahogany,High,Buffer Zone
SAP-0410,Narra,Low,Forest Zone
SAP-0411,Narra,Low,Medium Density Residential Zone
SAP-0412,Banaba,High,Medium Density Residential Zone
SAP-0413,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0414,Narra,Medium,Forest Zone
SAP-0415,Narra,Medium,Parks and Recreation Zone
SAP-0416,Mahogany,Low,Forest Zone
SAP-0417,Mahogany,Medium,Medium Density Residential Zone
SAP-0418,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0419,Narra,High,Medium Density Residential Zone
SAP-0420,Banaba,High,Buffer Zone
SAP-0421,Molave,High,Parks and Recreation Zone
SAP-0422,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0423,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0424,Molave,High,Buffer Zone
SAP-0425,Narra,Medium,Buffer Zone
SAP-0426,Mahogany,High,Parks and Recreation Zone
SAP-0427,Mahogany,High,Parks and Recreation Zone
SAP-0428,Mahogany,High,Forest Zone
SAP-0429,Molave,Low,Buffer Zone
SAP-0430,Mahogany,High,Parks and Recreation Zone
SAP-0431,Molave,High,Forest Zone
SAP-0432,Banaba,Low,Buffer Zone
SAP-0433,Molave,High,Buffer Zone
SAP-0434,Narra,High,Parks and Recreation Zone
SAP-0435,Molave,Medium,Forest Zone
SAP-0436,Banaba,High,Parks and Recreation Zone
SAP-0437,Banaba,High,Forest Zone
SAP-0438,Banaba,Medium,Buffer Zone
SAP-0439,Narra,High,Medium Density Residential Zone
SAP-0440,Narra,High,Parks and Recreation Zone
SAP-0441,Molave,High,Medium Density Residential Zone
SAP-0442,Banaba,Medium,Medium Density Residential Zone
SAP-0443,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0444,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0445,Narra,Low,Medium Density Residential Zone
SAP-0446,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0447,Banaba,Low,Buffer Zone
SAP-0448,Narra,Low,Parks and Recreation Zone
SAP-0449,Banaba,High,Forest Zone
SAP-0450,Mahogany,High,Buffer Zone
SAP-0451,Mahogany,Low,Buffer Zone
SAP-0452,Ilang-Ilang,High,Forest Zone
SAP-0453,Banaba,Medium,Buffer Zone
SAP-0454,Mahogany,Low,Forest Zone
SAP-0455,Narra,Low,Forest Zone
SAP-0456,Banaba,Medium,Medium Density Residential Zone
SAP-0457,Narra,High,Medium Density Residential Zone
SAP-0458,Banaba,High,Buffer Zone
SAP-0459,Narra,Low,Forest Zone
SAP-0460,Banaba,Medium,Buffer Zone
SAP-0461,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0462,Molave,Medium,Buffer Zone
SAP-0463,Mahogany,High,Buffer Zone
SAP-0464,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0465,Molave,Low,Medium Density Residential Zone
SAP-0466,Ilang-Ilang,Medium,Buffer Zone
SAP-0467,Ilang-Ilang,Medium,Buffer Zone
SAP-0468,Ilang-Ilang,High,Forest Zone
SAP-0469,Banaba,High,Medium Density Residential Zone
SAP-0470,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0471,Narra,Medium,Medium Density Residential Zone
SAP-0472,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0473,Mahogany,High,Medium Density Residential Zone
SAP-0474,Narra,Medium,Forest Zone
SAP-0475,Molave,Medium,Buffer Zone
SAP-0476,Narra,Medium,Parks and Recreation Zone
SAP-0477,Narra,Low,Forest Zone
SAP-0478,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0479,Molave,High,Forest Zone
SAP-0480,Narra,Medium,Forest Zone
SAP-0481,Narra,Low,Medium Density Residential Zone
SAP-0482,Banaba,Low,Medium Density Residential Zone
SAP-0483,Banaba,Medium,Medium Density Residential Zone
SAP-0484,Ilang-Ilang,Medium,Buffer Zone
SAP-0485,Mahogany,High,Parks and Recreation Zone
SAP-0486,Narra,Medium,Buffer Zone
SAP-0487,Ilang-Ilang,Low,Buffer Zone
SAP-0488,Mahogany,Medium,Forest Zone
SAP-0489,Narra,Medium,Parks and Recreation Zone
SAP-0490,Banaba,Low,Medium Density Residential Zone
SAP-0491,Banaba,Low,Buffer Zone
SAP-0492,Narra,Medium,Parks and Recreation Zone
SAP-0493,Mahogany,High,Parks and Recreation Zone
SAP-0494,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0495,Molave,Low,Buffer Zone
SAP-0496,Mahogany,High,Medium Density Residential Zone
SAP-0497,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0498,Mahogany,Medium,Forest Zone
SAP-0499,Banaba,Low,Parks and Recreation Zone
SAP-0500,Banaba,Low,Medium Density Residential Zone
SAP-0501,Narra,High,Forest Zone
SAP-0502,Molave,High,Forest Zone
SAP-0503,Ilang-Ilang,Medium,Medium Density Residential Zone
SAP-0504,Molave,Medium,Buffer Zone
SAP-0505,Narra,Low,Buffer Zone
SAP-0506,Banaba,Medium,Forest Zone
SAP-0507,Narra,Medium,Buffer Zone
SAP-0508,Molave,Medium,Parks and Recreation Zone
SAP-0509,Ilang-Ilang,Low,Forest Zone
SAP-0510,Mahogany,High,Forest Zone
SAP-0511,Molave,Low,Buffer Zone
SAP-0512,Banaba,High,Medium Density Residential Zone
SAP-0513,Narra,Medium,Forest Zone
SAP-0514,Narra,Low,Forest Zone
SAP-0515,Mahogany,Medium,Parks and Recreation Zone
SAP-0516,Mahogany,Medium,Forest Zone
SAP-0517,Narra,High,Buffer Zone
SAP-0518,Mahogany,High,Forest Zone
SAP-0519,Narra,Medium,Buffer Zone
SAP-0520,Ilang-Ilang,High,Parks and Recreation Zone
SAP-0521,Banaba,High,Buffer Zone
SAP-0522,Narra,Low,Buffer Zone
SAP-0523,Narra,Medium,Parks and Recreation Zone
SAP-0524,Banaba,Low,Forest Zone
SAP-0525,Molave,High,Forest Zone
SAP-0526,Ilang-Ilang,Low,Forest Zone
SAP-0527,Mahogany,High,Buffer Zone
SAP-0528,Mahogany,Medium,Medium Density Residential Zone
SAP-0529,Molave,High,Buffer Zone
SAP-0530,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0531,Banaba,High,Buffer Zone
SAP-0532,Mahogany,Low,Medium Density Residential Zone
SAP-0533,Mahogany,High,Parks and Recreation Zone
SAP-0534,Molave,Low,Parks and Recreation Zone
SAP-0535,Molave,Low,Buffer Zone
SAP-0536,Banaba,High,Medium Density Residential Zone
SAP-0537,Molave,Medium,Buffer Zone
SAP-0538,Banaba,Medium,Forest Zone
SAP-0539,Narra,Medium,Medium Density Residential Zone
SAP-0540,Ilang-Ilang,Medium,Buffer Zone
SAP-0541,Mahogany,Low,Parks and Recreation Zone
SAP-0542,Narra,Medium,Medium Density Residential Zone
SAP-0543,Narra,Medium,Buffer Zone
SAP-0544,Banaba,High,Forest Zone
SAP-0545,Narra,High,Parks and Recreation Zone
SAP-0546,Molave,Medium,Parks and Recreation Zone
SAP-0547,Molave,Medium,Buffer Zone
SAP-0548,Ilang-Ilang,Medium,Buffer Zone
SAP-0549,Mahogany,High,Forest Zone
